,Home->Tools->Power tools->Power tool accessories->Saw blades & accessories,Power tools,Atlas Uni Turbo 300mm,For the cutting of building materials,https://www.homebase.co.uk/atlas-uni-turbo-300mm_p488728,48.49,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/1f88686f-8d98-422d-9598-a750109577ba.jpg,Unnamed: 7,488728
1395,Home->Paint & Decorating->Paint->Exterior paint->Exterior gloss & satin->Eggshell->750ml,Paint,Farrow & Ball No.2006 Great White - Exterior Eggshell Paint - 750ml,This Farrow and Ball Exterior Egg Shell - Great White No.2006 - 0.75L paint is durable with a flexible finish with a high resistance to flaking and peeling.,https://www.homebase.co.uk/farrow-ball-no-2006-great-white-exterior-eggshell-paint-750ml_p694345,28.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/2f5c6fb5-cfd0-4abf-ade4-aaa04772f67d.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/31473fd8-9bf3-4276-b83f-e756546d0fea.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/91d10734-6c85-4c25-85e0-31b3921b865d.jpg",,694345
1396,Home->Paint & Decorating->Paint->Interior paint->Metal and wood->Neutral paint->Gloss,Paint,Home of Colour Contemporary - Non Drip Gloss Paint - 750ml,"Non Drip Gloss paint provides a hardwearing, high gloss finish with no drips.",https://www.homebase.co.uk/home-of-colour-contemporary-non-drip-gloss-paint-750ml_p399199,11.99,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/0ffb8d77-dfba-4a32-b732-ebf4a148baa2.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f9413d5a-94a0-4a13-b9ac-1aec08fd2df6.jpg",,399199
1397,Home->Paint & Decorating->Paint->Interior paint->Emulsion paint->Blue paint->Standard emulsion->2.5L,Paint,Farrow & Ball Estate No.235 Borrowed Light - Matt Emulsion Paint - 2.5L,Farrow and Ball Estate Emulsion Paint has a chalky matt finish and unrivalled depth of colour. It is environmentally friendly with minimal VOCs.,https://www.homebase.co.uk/farrow-ball-estate-no-235-borrowed-light-matt-emulsion-paint-2-5l_p882198,46.5,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/2219bc20-6e3d-40b9-a834-40d49d535ab9.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f194a91a-0f9e-494f-9c6c-b50de8137db9.jpg",,882198
1398,Home->Bathrooms & Plumbing->Bathroom furniture suites->Dynamic range->Driftwood,Bathroom furniture suites,Balterley Dynamic 800mm Mirror Unit - Driftwood,The warm natural tone of driftwood creates a statement piece in any bathroom.,https://www.homebase.co.uk/balterley-dynamic-800mm-mirror-unit-driftwood_p503514,250.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/bb777710-66f2-48f0-84ab-269882ffd9cd.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/347b9307-bf71-4e27-9362-dbe0a6b88faa.jpg",,503514
1399,Home->Bathrooms & Plumbing->Bathroom furniture suites->Dynamic range->Natural oak,Bathroom furniture suites,Balterley Dynamic 1200mm Compact Combination Unit - Natural Oak,The natural oak furniture range is ideal for subtly adding colour into your bathroom.,https://www.homebase.co.uk/balterley-dynamic-1200mm-compact-combination-unit-natural-oak_p503802,570.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f67f9210-60eb-4e22-b163-6432efc09c4b.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/9e964598-27d9-4403-8f9d-876e068bff7f.jpg",,503802
1400,Home->Paint & Decorating->Paint->Interior paint->Emulsion paint->Neutral paint->Standard emulsion->5L,Paint,Dulux Egyptian Cotton - Silk Emulsion Paint - 5L,Dulux Silk Emulsion Paint is a smooth and creamy silk paint that offers a wipe-clean delicate shine finish.,https://www.homebase.co.uk/dulux-egyptian-cotton-silk-emulsion-paint-5l_p426035,28.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/a144fc95-b032-4d3f-94b5-f6366200194a.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/351f90b3-fbb8-4a20-9d32-e221335bdc2d.jpg",,426035
1401,Home->Kitchens->Kitchen worktops->Solid surface worktops->Maia->Brazilian griege->Sink modules->28mm,Kitchen worktops,Maia Brazilian Greige Kitchen Sink Worktop - 1.5 Designer Right Hand Bowl - 360 x 65 x 2.8cm,Maia's Brazilian Greige kitchen worktop adds a lighter finish to your work surfaces. The soft brown and grey colouring creates a contemporary style that looks great above cream or white cabinets. The stainless steel 1.5 designer sink comes in both left and right hand configurations and features a single sink unit with a full size and half size bowl.,https://www.homebase.co.uk/maia-brazilian-greige-kitchen-sink-worktop-1-5-designer-right-hand-bowl-360-x-65-x-2-8cm_p462942,1582.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/4acd2e09-3358-4e0d-a9ca-0df4472266f3.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/8cae0d4f-3e4a-4542-aa44-48fc19ee1c3c.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/ab01f4c9-ae78-4a44-b873-eace9420581b.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/9a2f2c75-c2d2-4845-a547-f5a1b6b35c9f.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f5373e53-125b-4d9f-9dc6-0e851b8a8072.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/dbb4b495-3148-4478-be59-62e498c7dd54.jpg",,462942
1402,Home->Garden & Outdoor->Garden buildings->Sheds->Metal sheds,Garden buildings,Yardmaster 6 x 4ft Hercules Deluxe Apex Metal Shed with Floor Frame,"This Yardmaster Hercules no maintenance UK manufactured steel shed, is ideal for storage of general garden items. Includes a handy steel floor support frame. Floor surface material is not included (image for illustrative purposes only).",https://www.homebase.co.uk/yardmaster-6-x-4ft-hercules-deluxe-apex-metal-shed-with-floor-frame_p469749,199.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/c79b37d5-e748-4814-bab1-b82a5e8cf715.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/0ff8bf72-f4d7-49a5-a2e6-0ce870dcd15d.jpg",,469749
1403,Home->Paint & Decorating->Paint->Interior paint->Emulsion paint->Neutral paint->Standard emulsion->2.5L,Paint,Farrow & Ball Estate No.201 Shaded White - Eggshell Paint - 2.5L,Farrow and Ball Estate Eggshell Paint is extremely robust and durable and can be easily wiped or washed clean.,https://www.homebase.co.uk/farrow-ball-estate-no-201-shaded-white-eggshell-paint-2-5l_p389494,62.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/bf4124c8-b8ae-4ecd-9a78-13ddd615240a.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/1d2b3d8d-17bd-454e-ac40-628a9dd78d2a.jpg",,389494
1404,"Home->Tools->Power tools->Drills->Cordless drills, skins & kits->Cordless drills",Power tools,Bosch UNEO 12v LI (1x 2.5Ah) Cordless Rotary Hammer Drill,"The Bosch Uneo Cordless Rotary Hammer drill is one of the smallest cordless rotary hammers in the world, as well as being comfortable to use due to being a handy size and low weight of just 1.2 kg. The tool features a 3-in-1 pneumatic hammer mechanism for screwing, drilling and hammering ensuring optimum performance when carrying out DIY tasks and projects. Thanks to the Bosch SDS-Quick system you can easily change drill bits without the need for additional tools. Also this tool features a 2-speed gearbox, the first gear provides greater torque and control for screwdriving and the second gear provides greater speed for drilling and hammering.",https://www.homebase.co.uk/bosch-uneo-12v-li-1x-2-5ah-cordless-rotary-hammer-drill_p494934,129.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/cf92ef96-7cf8-4751-9970-676fea0eac36.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/69fa4c5e-39d3-4db0-925e-ce4a3fccfd71.jpg",,494934
1405,Home->Building & Hardware->Doors & door furniture->Exterior doors->Front,Doors & door furniture,Modica External Unfinished Oak Part L Compliant Door - 762 x 1981mm,"A simple and stylish oak external door with four evenly sized panels for a sleek finish. A Part L compliant warmer door, it's a perfect choice for contemporary properties with a focus on cutting fuel costs. Balancing modern design with practicality, it's a door that meets the needs of today's property updates. ",https://www.homebase.co.uk/modica-external-unfinished-oak-part-l-compliant-door-762-x-1981mm_p497905,299.0,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/4a1df0b1-7bc9-40dd-b381-e92ec8e0e9a7.jpg,,497905
1406,Home->Paint & Decorating->Paint->Interior paint->Metal and wood->Grey paint->Gloss,Paint,Farrow & Ball Eco No.27 Parma Gray - Full Gloss Paint - 2.5L,Farrow and Ball Eco Full Gloss Paint is a low odour reduced solvent paint with a traditional high gloss finish.,https://www.homebase.co.uk/farrow-ball-eco-no-27-parma-gray-full-gloss-paint-2-5l_p712562,62.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/7558da3c-d398-41c3-bec4-fcbee4ea524d.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/00ea6b83-0bcf-48f4-9e75-332ab1905467.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/4c5614a7-56fe-481c-b75b-0c844ce519d5.jpg",,712562
1407,Home->Garden & Outdoor->Garden buildings->Sheds->Metal sheds,Garden buildings,Palram SkyLight Amber Apex Shed - 4ft x 6ft,"Designed with your outdoor space in mind, the SkyLight Shed is perfect for storing, organizing and protecting your outdoor life. It is maintenance free, withstands inclement weather, it is rust, rot, and peel resistant, will maintain its color and will not become brittle over time. This shed is easily setup with its smart Slide & Lock paneling system. The SkyLight shed is 100% recyclable; it will complement your home and enhance your outdoor living space.",https://www.homebase.co.uk/palram-skylight-amber-apex-shed-4ft-x-6ft_p340800,300.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/955d9cba-d239-450b-b93d-5218d84eda0f.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/b3e5b93f-9468-4642-8bd3-fd805f1f04e1.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/53cce910-12fe-4369-94b6-ced1871be281.jpg",,340800
1408,Home->Garden & Outdoor->Garden buildings->Garden storage->Wooden garden storage,Garden buildings,Forest Garden Wooden Large Apex Outdoor Store,"The Large Outdoor Store from Forest Garden offers a spacious alternative to a shed. With large double doors, it is a practical and good looking storage solution for tools and large garden equipment. It is also ideal for use as a mower store or bike store with the capacity to comfortably house two adult and two children's bikes with space to spare for accessories. Total storage capacity is approximately 2000 litres.",https://www.homebase.co.uk/forest-garden-wooden-large-apex-outdoor-store_p387698,229.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/94f1bae6-84ab-42de-baec-3741fe6d710c.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/1703a6f9-d472-4317-867e-f43a9fe4e2bc.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/632d11db-0ffb-414b-93e8-eedea9a90031.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/503e5560-1976-42b0-9579-762815a933f4.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/da269d91-1921-4055-80bb-f341895a86c2.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/fc90c33b-7c44-42f4-bad7-2c6a10196b89.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/21715fe5-7e87-44c3-8218-83560d674a48.jpg",,387698
1409,Home->Bathrooms & Plumbing->Bathroom furniture suites->Wave range,Bathroom furniture suites,Balterley Wave 600mm Freestanding 2 Drawer Vanity and Basin - Dark Grey,This dark grey unit features soft lines and gentle curves with an integrated handle.,https://www.homebase.co.uk/balterley-wave-600mm-freestanding-2-drawer-vanity-and-basin-dark-grey_p503453,510.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/61c1d8d2-0b76-4576-b924-fd0d3f492fbb.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/2ff5a9c8-0a7a-41e3-a2b1-a921117b50ea.jpg",,503453
1410,Home->Paint & Decorating->Paint->Interior paint->Metal and wood->Eggshell,Paint,Farrow & Ball Modern Eggshell Midsheen Paint Green Smoke No.47 - 750ml,"Hardwearing mid sheen finish available in 132 colours. Use to update floors, stairs, skirting boards or to freshen up kitchen cupboards.  ",https://www.homebase.co.uk/farrow-ball-modern-eggshell-midsheen-paint-green-smoke-no-47-750ml_p485301,28.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/7c95c609-cde8-4908-99af-4323e7533307.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/3e0556ec-2cd9-442d-887c-d25122b3dfbb.jpg",,485301
1411,Home->Kitchens->Kitchen worktops->Solid surface worktops->Maia->Brazilian griege->Sink modules->42mm,Kitchen worktops,Maia Brazilian Greige Kitchen Sink Worktop - Acrylic 1.5 Designer Right Hand Bowl - 360 x 65 x 4.2cm,Maia's Brazilian Greige kitchen worktop adds a lighter finish to your work surfaces. The soft brown and grey colouring creates a contemporary style that looks great above cream or white cabinets. The acrylic 1.5 designer bowl is available in left and right hand configurations and features a one piece sink unit that is mounted under your kitchen worktop.,https://www.homebase.co.uk/maia-brazilian-greige-kitchen-sink-worktop-acrylic-1-5-designer-right-hand-bowl-360-x-65-x-4-2cm_p462881,1722.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/ae435df4-eb63-4f4e-b918-e8b74d053586.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/92b90739-ed9b-47d0-87a2-f281240210cd.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/09abb25d-92e2-4e40-aace-9862f3ec0e0c.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/74291b3e-3789-4c0d-a27b-a1c77d02084a.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/877b45cc-089c-4354-8994-9ba98aee99eb.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/6dac7902-50b6-49a3-906a-27eb3865e716.jpg",,462881
1412,Home->Kitchens->Kitchen worktops->Solid surface worktops->Minerva->Desert rock,Kitchen worktops,Minerva Desert Rock Kitchen Worktop - 150 x 60 x 2.5cm,"A full 2.5cm thickness kitchen worktop with colour throughout, providing a luxurious finish and robust performance. Edging not required.",https://www.homebase.co.uk/minerva-desert-rock-kitchen-worktop-150-x-60-x-2-5cm_p196425,529.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/561296f9-8fa0-43e4-80e2-fe03f8e1ac04.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/7ca9d5e1-8e6f-400f-9843-b748b943dd97.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/9b56ef43-93fe-41bf-a6eb-0652d429c379.jpg",,196425
1413,Home->Kitchens->Kitchen worktops->Edging & joints,Kitchen worktops,Maia Lava Kitchen Worktop Edging Strip - 120 x 2.8cm,Lava features a mid grey tone with speckles of brown to give the impression of natural stone - a perfect topper for traditional white cupboards.,https://www.homebase.co.uk/maia-lava-kitchen-worktop-edging-strip-120-x-2-8cm_p143535,29.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/c4a4f8a7-a359-4f92-9659-58222711376c.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/95bc3693-435f-4464-8144-fb615801c778.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/e5f4cfde-cb06-4da5-bf65-e8775d444fd5.jpg",,143535
1414,Home->Tools->Power tools->Power tool accessories->Saw blades & accessories,Power tools,Atlas Mortar Rake 125 x 22.23/16,Designed for work on renovating bricks/walls,https://www.homebase.co.uk/atlas-mortar-rake-125-x-22-23-16_p422405,44.95,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/bdf04824-4933-4333-97ea-1a88ef17b6b8.jpg,,422405
1415,Home->Bathrooms & Plumbing->Plumbing->Waste traps->Basin & bath wastes,Plumbing,Balterley Plug and Chain Basin Waste,High quality brass plug and chain.,https://www.homebase.co.uk/balterley-plug-and-chain-basin-waste_p504701,12.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/42393ecb-6d81-48d4-8e0a-8e940e2467c9.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/b0fe8fab-b563-4304-b6c7-8df85fecb67c.jpg",,504701
1416,Home->Garden & Outdoor->Garden buildings->Sheds->Wooden sheds->Other shed sizes,Garden buildings,Mercia 9 x 9ft Premium Corner Wooden Shed,This Shiplap Wooden Corner shed looks great in the garden thanks to a unique design that is stylish and contemporary. Large double doors make everyday life easier when it comes to storing and fetching bulky items that are difficult to move.,https://www.homebase.co.uk/mercia-9-x-9ft-premium-corner-wooden-shed_p453143,1000.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/d99867a3-5487-44bf-93e2-495b00640428.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/9a207d21-8cd0-4848-acb9-cdce91e3cad3.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/374d8fc5-baa7-4bb0-8cb5-ed034bef317b.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/7214dd80-b92d-4d66-8fe6-ad64015801af.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/e7c4b187-5f1c-49b4-ac11-1633d465bd78.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/8af5add5-96d7-4e1b-a8cf-e1c6c31a6201.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/b79ca65a-d762-4818-b3e3-1a7bac829c8d.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/e5c9e042-5df6-4d47-b946-224aac4200b2.jpg",,453143
1417,Home->Tools->Power tools->Power tool accessories->Drill & driver bits,Power tools,Stanley SDS Drill Bit 12 x 450mm - STA54122-QZ,"Stanley SDS plus drill bit designed for drilling into house brick, masonry, concrete, natural stone and other similar hard materials.",https://www.homebase.co.uk/stanley-sds-drill-bit-12-x-450mm-sta54122-qz_p315402,13.0,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/a47d466a-d927-4513-8698-75491f284162.jpg,,315402
1418,Home->Building & Hardware->Doors & door furniture->Interior doors->Feature,Doors & door furniture,Eindhoven Internal Prefinished Oak 1 Panel Door - 838 x 1981mm,"A premium quality solid oak internal door enhanced by decorative beading. Blending timeless style with great quality, you can hang this door in a property to bring a touch of class. A design that will look equally at home in a bedroom or bathroom as it will in the kitchen or study, choose the Eindhoven for versatility and style in one. In prefinished oak, this is an interior door that you can hang straight away, without having to varnish or paint it first.",https://www.homebase.co.uk/eindhoven-internal-prefinished-oak-1-panel-door-838-x-1981mm_p497448,225.0,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/25bbd04c-7e8c-4200-b706-1f9b82ff29f9.jpg,,497448
1419,Home->Bathrooms & Plumbing->Plumbing->Radiators->Valves & accessories,Plumbing,Balterley Corner Minimalist Radiator Valves,Manufactured from high quality brass with a luxury chrome finish.,https://www.homebase.co.uk/balterley-corner-minimalist-radiator-valves_p501781,45.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/8ee26b91-1452-4f85-84c4-17e1c5bcdc9d.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/912c67c7-b24a-42c1-9fa2-e4033237a571.jpg",,501781
1420,Home->Paint & Decorating->Paint->Specialist paint->All surface paint,Paint,Rust-Oleum Terracotta - Natural Effects - 750ml,"Create the look and feel of Cast Iron, Cast Bronze, Terracotta and Limestone with Rust-Oleum Natural Effects brush paint. With a matt finish, the paint is lightly textured to replicate the feel of these natural materials. Suitable for wood, metal, plastic, cast concrete and more.Application - Stir well before use. Surfaces to be painted should be clean, dry and free from loose paint, rust, wax, oil and grease. Previously painted surfaces should be abraded to provide a key. Bare wood and metal should be primed with a suitable Rustoleum Primer.Coverage - Up to 5m2 per litre.Drying Time - Dry in 30 minutes. Allow 20 mins between coats.",https://www.homebase.co.uk/rust-oleum-terracotta-natural-effects-750ml_p297373,14.99,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/10bc6294-35a1-4320-a75d-3589cc775ebd.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/286418d6-0ec0-45a3-b2f9-cc996af1cc18.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/a87a4dfa-d680-4072-bca5-1a5edd8abdfa.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/ef3ca3f7-3da6-4d09-87b0-b2fec730d920.jpg",,297373
1421,Home->Kitchens->Kitchen worktops->Solid surface worktops->Minerva->Copper fleck,Kitchen worktops,Minerva Copper Fleck Kitchen Worktop - 150 x 65 x 2.5cm,"A full 2.5cm thickness kitchen worktop with colour throughout, providing a luxurious finish and robust performance. Edging not required.",https://www.homebase.co.uk/minerva-copper-fleck-kitchen-worktop-150-x-65-x-2-5cm_p380529,549.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/633d85d8-6276-4041-9d14-cfc3d59a461f.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/eac5c518-158a-4cd2-b7cd-c10e85e6c34a.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/5ea0e376-dfa8-4f99-b8f7-81e8cf6412e2.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/ce933d70-c1bf-49d3-bfd1-8e41240303a6.jpg",,380529
1422,Home->Bathrooms & Plumbing->Plumbing->Radiators->Designer radiators,Plumbing,Heating Style Vetro IR Frame Electrical 1000 x 500mm Glass Towel Warmer 700W Black,These glass radiators combine elegant frameless design with innovative technology.,https://www.homebase.co.uk/heating-style-vetro-ir-frame-electrical-1000-x-500mm-glass-towel-warmer-700w-black_p496633,450.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/6f8accdc-501e-40db-80f5-a793e82979f4.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f0a55856-0508-44f9-8721-38bd457a4fa3.jpg",,496633
